fries	He is eating fries with his burger.
garden	My grandmother grows flowers in her garden.
gate	I am waiting at the school gate.
get	I get a new book every month.
get up	I get up at six every day.
grandfather	My grandfather walks in the park every morning.
grandmother	My grandmother made soup yesterday.
great	We had a great vacation.
guest	A guest can view the sample decks.
hand	She is holding a flower in her hand.
hardly	I hardly ever eat candy.
hat	He is wearing a yellow hat.
hate	I hate cold soup.
have	We have lunch at twelve every day.
hear	I hear birds every morning.
hold	We hold a meeting every Monday.
homework	I finished my homework last night.
housework	We do the housework together.
how much is that shirt?	Excuse me, how much is that shirt?
husband	Her husband is a teacher.
i do not want meat	I do not want meat. I want a salad.
i have a question about the menu	I have a question about the menu. Is this soup vegetarian?
i like that hat	I like that hat. Yellow is my favourite colour.
i'd like a large pizza	I'd like a large pizza, please.
in learning	Examples help me in learning new words.
intelligent	My sister is intelligent.
interesting	This book is interesting.
is	My brother is a doctor.
is lisa a doctor?	Is Lisa a doctor? She works at the hospital.
is there	Is there a library near your house?
issue	We fixed the issue yesterday.
jeans	He is wearing blue jeans.
jog	I jog in the park every morning.
keep	I keep my passport in this bag.
kind	Our teacher is kind.
kitchen	My father is cooking in the kitchen.
large	They live in a large house.
lawyer	My aunt is a lawyer.
learn	I learn five new words every day.
leave	I leave home at seven every morning.
lettuce	She is putting lettuce in her sandwich.
library	I borrowed a book from the library yesterday.
live	We live near the train station.
lovely	Your garden is lovely.
lunchtime	We play chess at lunchtime.
make	I make breakfast every morning.
maths	My brother likes maths.
meat	She does not eat meat.
meet	I meet my friends every weekend.
meeting	Our meeting started at nine.
midday	We eat lunch at midday.
midnight	The train arrived at midnight.
mockup	I am showing the mockup to my team.
monday	I study English on Monday.
mop	I mop the kitchen floor every Sunday.
museum	We visited the museum yesterday.
neat	Her bedroom is neat.
never	I never drink coffee at night.
night	It rained last night.
novel	She is reading a novel.
nurse	The nurse is helping my grandmother.
objective	Her report is objective and clear.
often	We often walk to school.
pagination	Pagination divides the list into pages.
pants	He bought new pants yesterday.
parent	Each parent received a letter from the school.
park	We are walking in the park.
passport	I keep my passport in my bag.
pay	I pay for lunch every Friday.
pending	My request is still pending.
people	Many people are waiting for the bus.
perfect	The weather is perfect for a walk.
pillow	My cat is sleeping on my pillow.
plant	I water this plant every morning.
pre-condition	A valid account is a pre-condition for this task.
quiet	The library is quiet.
quote	She read a quote from the book.
rainy	It was rainy yesterday.
redirect	We redirect visitors to the home page.
rejected	The manager rejected the request yesterday.
restaurant	We ate at a small restaurant last night.
restroom	The restroom is near the stairs.
reviewing	My manager is reviewing the report.
ride	I ride my bike to school.
rise	The sun starts to rise at six.
sandwich	I made a sandwich for lunch.
saturday	We play tennis on Saturday.
say	I say hello to my neighbours every morning.
scarf	She is wearing a red scarf.
sell	They sell flowers at the market.
send	I send my teacher an email every week.
set	We watched the sun set yesterday.
shirt	He is wearing a white shirt.
shoes	My shoes are under the bed.
short	My hair is short.
sit	I sit near the window in class.
skirt	She bought a blue skirt yesterday.
small	We live in a small flat.
sock	I found a sock under the chair.
sometimes	I sometimes eat lunch at school.
spend	We spend an hour on English every day.
spring	Flowers grow in spring.
start	Our classes start at eight.
street	My uncle lives on this street.
summary	I wrote a summary of the meeting.
sunday	We visit our grandparents on Sunday.
sweater	She is wearing a warm sweater.
take	I take my bag to school every day.
talks	She talks to her grandmother every evening.
teach	I teach English at a small school.
tell	I tell my daughter a story every night.
tennis	We played tennis yesterday.
that	That bag is mine.
the vegetarian	The vegetarian ordered a salad.
there's flying robot in this game	There is a flying robot in this game. It helps the player.
these	These shoes are new.
this is my dessert	This is my dessert. It looks delicious.
those	Those children are playing chess.
thursday	Our exam is on Thursday.
tidy	I tidy my bedroom every morning.
together	We cooked dinner together yesterday.
tomato	She is cutting a tomato.
train station	I met my cousin at the train station.
travel	We travel by train every summer.
tree	There is a tall tree behind our house.
trigger	A button click is the trigger for this action.
tuesday	I attend a music class on Tuesday.
turn	The leaves turn yellow in fall.
uncle	My uncle is a chef.
university	My sister studies at a university.
usually	I usually have breakfast at home.
vacation	We visited France on our vacation.
vase	She put flowers in the vase.
volleyball	The children are playing volleyball.
walks into a clothes store	Lisa walks into a clothes store and looks at the shirts.
wall	There is a clock on the wall.
wardrobe	My coat is in the wardrobe.
warm	The soup is still warm.
wash	I wash my hands before every meal.
wednesday	We have maths on Wednesday.
weekend	I visited my aunt last weekend.
west	The sun sets in the west.
where is my check?	Excuse me, where is my check? I am ready to pay.
wife	His wife is a nurse.
windy	It is windy today.
wireframe	I drew a wireframe yesterday.
workflow	This workflow has three steps.
writes	She writes in her notebook every day.
yellow	My favourite shirt is yellow.
